98475973;MPG1;ALPHA1 25-60 N 180 1x230V 50Hz 6H;439
98475938;MPG1;ALPHA1 32-40 180 1x230V 50Hz 6H;223
98475939;MPG1;ALPHA1 32-50 180 1x230V 50Hz 6H;233
98475940;MPG1;ALPHA1 32-60 180 1x230V 50Hz 6H;257
97993192;MPG1;ALPHA2 15-40 130 1x230V 50Hz 6H;291
97993193;MPG1;ALPHA2 15-50;320
97993194;MPG1;ALPHA2 15-60 130 1x230V 50Hz 6H;334
98676765;MPG1;ALPHA2 15-80 130                        ;378
97993195;MPG1;ALPHA2 25-40 130 1x230V 50Hz 6H;264
97704990;MPG1;ALPHA2 25-40 180 1x230V 50Hz 6H;264
97993199;MPG1;ALPHA2 25-40 A 180 1x230V 50Hz 6H;304
97993209;MPG1;ALPHA2 25-40 N 180 1x230V 50Hz 6H;497
97993200;MPG1;ALPHA2 25-50;291
97993196;MPG1;ALPHA2 25-50 ;291
97993210;MPG1;ALPHA2 25-50 N;547
97993197;MPG1;ALPHA2 25-60 130 1x230V 50Hz 6H;304
97993201;MPG1;ALPHA2 25-60 180 1x230V 50Hz 6H;304
97993202;MPG1;ALPHA2 25-60 A 180 1x230V 50Hz 6H;349
97993211;MPG1;ALPHA2 25-60 N 180 1x230V 50Hz 6H;571
98649753;MPG1;ALPHA2 25-80 130                    ;378
98649757;MPG1;ALPHA2 25-80 180                    ;378
98676783;MPG1;ALPHA2 25-80 N;712
97993203;MPG1;ALPHA2 32-40 180 1x230V 50Hz 6H;291
97993212;MPG1;ALPHA2 32-40 N;547
97993204;MPG1;ALPHA2 32-50;320
97993213;MPG1;ALPHA2 32-50 N;601
97993205;MPG1;ALPHA2 32-60 180 1x230V 50Hz 6H;334
97993214;MPG1;ALPHA2 32-60 N;629
98676766;MPG1;ALPHA2 32-80 180                        ;418
98676784;MPG1;ALPHA2 32-80 N;865
95047560;MPG1;ALPHA2 L 15-40 130 1x230V 50Hz 6H;202
98288721;MPG1;ALPHA2 L 15-50 130 1x230V 50Hz 6H;222
96984037;MPG1;ALPHA2 L 15-60 130 1x230V 50Hz 6H;232
98288722;MPG1;ALPHA2 L 20-40 130 1x230V 50Hz 6H;202
98288708;MPG1;ALPHA2 L 20-40 N 150 1x230V 50Hz 6H;367
98094952;MPG1;ALPHA2 L 20-45 N 150 1x230V 50Hz 6H;391
98288723;MPG1;ALPHA2 L 20-50 130 1x230V 50Hz 6H;222
98290112;MPG1;ALPHA2 L 20-50 N 150 1x230V 50Hz 6H;404
98288724;MPG1;ALPHA2 L 20-60 130 1x230V 50Hz 6H;232
98288709;MPG1;ALPHA2 L 20-60 N 150 1x230V 50Hz 6H;422
95047561;MPG1;ALPHA2 L 25-40 130 1x230V 50Hz 6H;184
95047562;MPG1;ALPHA2 L 25-40 180 1x230V 50Hz 6H;184
98288725;MPG1;ALPHA2 L 25-40 A 180 1x230V 50Hz 6H;211
98288702;MPG1;ALPHA2 L 25-40 N 180 1x230V 50Hz 6H;367
98288726;MPG1;ALPHA2 L 25-50 130 1x230V 50Hz 6H;202
98124072;MPG1;ALPHA2 L 25-50 180 1x230V 50Hz 6H;202
98288705;MPG1;ALPHA2 L 25-50 N 180 1x230V 50Hz 6H;404
95047563;MPG1;ALPHA2 L 25-60 130 1x230V 50Hz 6H;211
95047564;MPG1;ALPHA2 L 25-60 180 1x230V 50Hz 6H;211
98288728;MPG1;ALPHA2 L 25-60 A 180 1x230V 50Hz 6H;243
98288707;MPG1;ALPHA2 L 25-60 N 180 1x230V 50Hz 6H;422
95047565;MPG1;ALPHA2 L 32-40 180 1x230V 50Hz 6H;202
98288729;MPG1;ALPHA2 L 32-50 180 1x230V 50Hz 6H;222
95047566;MPG1;ALPHA2 L 32-60 180 1x230V 50Hz 6H;232
98890717;MPG1;ALPHA3 15-40 130 1x230V 50Hz 6H;383
98890746;MPG1;ALPHA3 15-50 130 1x230V 50Hz 6H;421
98890747;MPG1;ALPHA3 15-60 130 1x230V 50Hz 6H;440
98890748;MPG1;ALPHA3 15-80 130 1x230V 50Hz 6H;551
98890750;MPG1;ALPHA3 25-40 130 1x230V 50Hz 6H;348
98890766;MPG1;ALPHA3 25-40 180 1x230V 50Hz 6H;348
98890767;MPG1;ALPHA3 25-40 A 180 1x230V 50Hz 6H;400
98890834;MPG1;ALPHA3 25-40 N 130 1x230V 50Hz 6H;696
98890839;MPG1;ALPHA3 25-40 N 180 1x230V 50Hz 6H;696
98890761;MPG1;ALPHA3 25-50 130 1x230V 50Hz 6H;383
98890768;MPG1;ALPHA3 25-50 180 1x230V 50Hz 6H;383
98890836;MPG1;ALPHA3 25-50 N 130 1x230V 50Hz 6H;766
98890851;MPG1;ALPHA3 25-50 N 180 1x230V 50Hz 6H;766
98890762;MPG1;ALPHA3 25-60 130 1x230V 50Hz 6H;400
98890769;MPG1;ALPHA3 25-60 180 1x230V 50Hz 6H;400
98890781;MPG1;ALPHA3 25-60 A 180 1x230V 50Hz 6H;460
98890837;MPG1;ALPHA3 25-60 N 130 1x230V 50Hz 6H;800
98890853;MPG1;ALPHA3 25-60 N 180 1x230V 50Hz 6H;800
98890764;MPG1;ALPHA3 25-80 130 1x230V 50Hz 6H;501
98890770;MPG1;ALPHA3 25-80 180 1x230V 50Hz 6H;501
98890838;MPG1;ALPHA3 25-80 N 130 1x230V 50Hz 6H;1002
98890854;MPG1;ALPHA3 25-80 N 180 1x230V 50Hz 6H;1002
